Zeit,CPU_Apache1,CPU_Apache2,CPU_Work,CPU_Haproxy,CPU_Redis,CPU_MariaDB,RAM_Apache1,RAM_Apache2,RAM_Work,RAM_Haproxy,RAM_Redis,RAM_MariaDB
18:54:13,0.12,0.12,0.12,0.00,0.09,97.52,42.02MiB,36.99MiB,32.91MiB,82.16MiB,13.77MiB,215.7MiB
18:54:56,0.11,0.12,0.16,0.00,0.11,104.35,42.02MiB,36.99MiB,32.9MiB,82.16MiB,13.77MiB,219MiB
18:55:40,0.11,0.12,0.12,0.03,0.09,102.74,42.02MiB,36.99MiB,32.9MiB,82.16MiB,13.77MiB,217.8MiB
18:56:24,0.12,0.12,0.15,0.03,0.09,102.29,42.02MiB,36.99MiB,32.89MiB,82.16MiB,13.77MiB,217MiB
18:57:07,0.12,0.12,0.12,0.00,0.10,103.57,42.02MiB,36.99MiB,32.89MiB,82.15MiB,13.77MiB,217.9MiB
18:57:51,0.11,0.12,0.14,0.00,0.09,104.06,42.02MiB,36.99MiB,32.89MiB,82.16MiB,13.77MiB,219.2MiB
18:58:34,0.11,0.13,0.14,0.04,0.10,100.92,42.02MiB,36.99MiB,32.88MiB,82.16MiB,13.77MiB,218.9MiB
18:59:18,0.11,1.57,0.12,0.03,0.11,105.68,42.02MiB,36.99MiB,32.88MiB,82.16MiB,13.77MiB,219.1MiB
19:00:02,0.11,0.12,0.14,0.00,0.10,101.79,42.01MiB,36.99MiB,32.87MiB,82.16MiB,13.77MiB,216.6MiB
19:00:45,0.11,0.30,0.14,0.00,0.10,108.22,42.01MiB,36.99MiB,32.87MiB,82.16MiB,13.77MiB,221.2MiB
19:01:29,0.10,0.12,0.12,0.20,0.10,105.40,42.01MiB,36.99MiB,32.87MiB,82.16MiB,13.77MiB,218.3MiB
19:02:12,0.11,0.10,0.13,0.03,0.10,103.16,42.01MiB,36.99MiB,32.86MiB,82.17MiB,13.77MiB,217.5MiB  
19:15:17,0.12,0.14,0.18,0.00,0.15,105.95,42.01MiB,36.98MiB,32.82MiB,82.17MiB,13.71MiB,215.7MiB
19:16:01,0.11,0.11,0.14,0.00,0.18,107.84,42.01MiB,36.98MiB,32.82MiB,82.16MiB,13.71MiB,218.3MiB
19:16:44,0.16,0.16,0.17,0.02,0.14,104.32,42.01MiB,36.98MiB,32.81MiB,82.16MiB,13.71MiB,217.9MiB
19:17:28,0.14,0.12,0.14,0.07,0.12,103.39,42.01MiB,36.98MiB,32.81MiB,82.16MiB,13.71MiB,217.4MiB
19:18:11,0.13,0.12,0.13,0.03,0.11,102.62,42.01MiB,36.98MiB,32.77MiB,82.16MiB,13.71MiB,217.3MiB
19:18:55,0.13,0.12,0.12,0.00,0.11,107.24,42MiB,36.98MiB,32.75MiB,82.16MiB,13.71MiB,216.8MiB
19:19:39,0.12,0.15,0.12,0.18,0.10,104.58,41.94MiB,36.9MiB,32.3MiB,82MiB,13.68MiB,220.2MiB
19:20:22,0.12,0.12,0.12,0.02,0.10,103.99,41.94MiB,36.9MiB,32.3MiB,82MiB,13.68MiB,217.6MiB
19:21:06,0.11,0.11,0.12,0.04,0.09,103.56,41.94MiB,36.9MiB,32.31MiB,82MiB,13.68MiB,215.6MiB
19:21:49,0.16,0.10,0.13,0.23,0.10,103.60,41.94MiB,36.9MiB,32.3MiB,82MiB,13.68MiB,217.2MiB
